                                            List of databases
           Name           |     Owner     | Encoding |   Collate   |    Ctype    |   Access privileges   
 prac_01kh                | khutch23      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 prac_navpreet01          | navpreet      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 prac_navpreetmutti01     | navpreet      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 prac_o1                  | saurav        | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 prac_o2                  | saurav        | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 prac_preet01             | navpreet      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 pracdb_01                | ldunn24       | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 pracss                   | pkaur21       | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 pracss_1                 | pkaur21       | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 practice_cflint4         | cflint4       | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 project8                 | kkaur22       | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 quiz1_cmsteinmu          | csteinmu      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 quiz1_ldayes             | ldayes        | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 quiz1_mmalady            | mmalady       | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 quiz1mmalady             | mmalady       | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 rbolam_prac_01           | rbolam        | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 rbolam_prac_01_2         | rbolam        | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 rknights_prac_01         | rknights      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 rmcwill3prac_01          | rmcwill3      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 rob                      | kkaur22       | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 sam                      | kkaur22       | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 saurav_prac              | saurav        | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 saurav_prac_o1           | saurav        | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 saurav_prac_o2           | saurav        | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 sim                      | kkaur22       | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 spatra_prac_01           | spatra        | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 stadmin                  | stadmin       | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 student                  | bshrest8      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 sumit_01                 | skhokha2      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 template0                | postgres      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | =c/postgres          +
                          |               |          |             |             | postgres=CTc/postgres
