                                                 List of databases
                Name                 |     Owner     | Encoding |   Collate   |    Ctype    |   Access privileges   
 dcabang1_prac_01                    | dcabang       | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 dcabang_apps                        | dcabang_apps  | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 dcabang_prac_01                     | dcabang       | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 dcabang_prac_02                     | dcabang       | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 dcon_a3                             | dconquit      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 dcon_p1                             | dconquit      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 dconquit                            | dconquit      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 dconquit_a1_test                    | dconquit      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 dconquit_a3                         | dconquit_apps | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 dconquit_apps_prac_4                | dconquit_apps | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 dconquit_prac01_library             | dconquit      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 dconquit_prac_01                    | dconquit      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 dconquit_prog01                     | dconquit      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 dconquit_testtest                   | dconquit      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 ddal01                              | ddallimo      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 ddal02                              | ddallimo      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 ddal03                              | ddallimo      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 ddal100                             | ddallimo      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 ddal101                             | ddallimo      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 ddal102                             | ddallimo      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 ddal202                             | ddallimo      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 ddalcustomers                       | ddallimo      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 ddallimo_apps_prac_4                | ddallimo_apps | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 dhowart3_prac_01                    | dhowart3      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 dhowarth_prac_01                    | dhowart3      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 diana_sample                        | abuyagaw      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 dianaprac_01                        | dcabang       | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 dleggo_apps_ass_2                   | dleggo_apps   | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 dleggo_p1                           | dleggo        | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 dmcdade_Library                     | dmcdade       | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 dmcdade_prac_01                     | dmcdade       | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 dmcdade_prac_02                     | dmcdade       | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 dmenheni                            | dmenheni      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 dmenheni_apps_prac_8                | dmenheni_apps | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 dmenheni_assignment2                | dmenheni_apps | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 dmenheni_prac2                      | dmenheni_apps | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 dmoore46_apps_moviedetails          | dmoore46_apps | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 dog1                                | ddallimo      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 doug_assignment2                    | dmenheni      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 dpotter7_apps_prac_4                | dpotter7_apps | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 dpotter7_apps_prac_assignment_2     | dpotter7_apps | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 dpotter7_p1                         | dpotter7      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 dpotter7_prac_01                    | dpotter7      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 dpotter7_prac_01_library            | dpotter7      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 dug27                               | ddallimo      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 dug28                               | ddallimo      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 dugtest                             | ddallimo      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 dugtest03                           | ddallimo      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 dugtest1                            | ddallimo      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 dyork_test_0105                     | dyork2_apps   | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 dyork_test_0705                     | dyork2_apps   | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
